                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66234,                0.43214,                0.86297,                0.98529,                0.97044,                0.99126,                0.81072,                0.69878,                0.42181,                0.89044,               0.067194,             0.00033137,             0.00033137
                      2,                0.70213,                0.43386,                0.87532,                0.97602,                0.98311,                0.99308,                0.80617,                0.74876,                0.41899,                0.89881,               0.034168,             0.00063812,             0.00063812
                      3,                0.69555,                0.42873,                0.87283,                0.98086,                0.99013,                0.99416,                0.82039,                0.72085,                0.41235,                0.89238,              0.0011143,              0.0009182,              0.0009182
                      4,                0.69165,                0.42475,                0.86852,                0.98954,                0.98068,                0.99381,                0.82569,                0.71588,                0.39854,                0.88981,                0.00088,                0.00088,                0.00088
                      5,                0.68671,                0.40647,                0.87553,                0.98908,                0.98309,                0.99409,                0.82187,                0.70633,                0.38736,                0.88214,                0.00088,                0.00088,                0.00088
                      6,                0.69064,                0.40355,                0.86904,                0.98373,                0.99034,                0.99449,                0.82827,                0.69434,                0.39417,                0.87782,                0.00084,                0.00084,                0.00084
                      7,                0.69171,                0.39737,                 0.8678,                0.98993,                0.99034,                0.99476,                0.83137,                0.70578,                0.36777,                0.88502,                 0.0008,                 0.0008,                 0.0008
                      8,                0.68613,                0.38025,                0.87128,                0.98326,                0.99333,                0.99434,                0.82562,                0.72248,                0.37792,                0.89185,                0.00076,                0.00076,                0.00076
                      9,                0.66953,                0.37713,                0.87142,                0.98643,                0.99275,                0.99453,                0.83541,                0.70567,                0.36427,                0.88785,                0.00072,                0.00072,                0.00072
                     10,                0.67854,                0.37753,                0.87097,                0.98611,                0.99034,                0.99428,                0.83292,                0.70166,                0.36057,                0.87908,                0.00068,                0.00068,                0.00068
                     11,                0.67113,                0.36475,                0.86432,                0.97973,                0.99034,                0.99363,                0.83518,                 0.6967,                0.35835,                0.88087,                0.00064,                0.00064,                0.00064
                     12,                0.65889,                0.35742,                0.86469,                0.98812,                0.99275,                0.99488,                0.84939,                0.68243,                0.34296,                0.88008,                 0.0006,                 0.0006,                 0.0006
                     13,                0.64036,                0.34603,                0.86187,                 0.9912,                0.98792,                0.99454,                0.84302,                0.69926,                0.34612,                0.88285,                0.00056,                0.00056,                0.00056
                     14,                0.63813,                 0.3419,                0.85999,                0.98097,                0.99586,                0.99425,                0.84903,                0.67632,                 0.3325,                0.87318,                0.00052,                0.00052,                0.00052
                     15,                0.63823,                0.33702,                0.85799,                0.99039,                0.99571,                 0.9949,                0.85302,                0.66087,                0.32489,                 0.8699,                0.00048,                0.00048,                0.00048
                     16,                0.62915,                0.33688,                0.85374,                0.98846,                0.99517,                0.99471,                0.84784,                0.67658,                0.32953,                0.87239,                0.00044,                0.00044,                0.00044
                     17,                0.62648,                0.32703,                 0.8565,                0.99262,                0.99034,                0.99478,                0.85151,                0.67428,                0.32672,                0.87529,                 0.0004,                 0.0004,                 0.0004
                     18,                0.61393,                 0.3247,                0.84986,                0.99248,                0.99758,                0.99485,                0.85556,                0.67057,                0.32178,                 0.8722,                0.00036,                0.00036,                0.00036
                     19,                0.60302,                0.31563,                0.84426,                0.98798,                0.99282,                0.99458,                0.86438,                0.65627,                0.30653,                0.86772,                0.00032,                0.00032,                0.00032
                     20,                0.60562,                0.30903,                 0.8476,                0.99118,                0.99758,                0.99466,                0.86415,                0.64753,                0.30959,                0.86899,                0.00028,                0.00028,                0.00028
